# Synthetic (DEMO) Vectronic activity export - individual BTR_example
# NOT real animal data. Generated for pipeline demonstration. Collar 99001.
No CollarID UTC_Date UTC_Time LMT_Date LMT_Time Origin SCTS_Date SCTS_Time Act_Mode DT ActivityX ActivityY ActivityZ Temp AnimalID GroupID
1 99001 01/05/2021 00:00:00 01/05/2021 00:00:00 Collar 01/05/2021 00:00:18 2 300 0 23 8 7.1 BTR_example 0
2 99001 01/05/2021 00:05:00 01/05/2021 00:05:00 Collar 01/05/2021 00:05:40 2 300 96 199 77 6.9 BTR_example 0
3 99001 01/05/2021 00:10:00 01/05/2021 00:10:00 Collar 01/05/2021 00:10:17 2 300 0 2 6 6.8 BTR_example 0
4 99001 01/05/2021 00:15:00 01/05/2021 00:15:00 Collar 01/05/2021 00:15:37 2 300 0 17 6 6.7 BTR_example 0
5 99001 01/05/2021 00:20:00 01/05/2021 00:20:00 Collar 01/05/2021 00:20:03 2 300 14 18 8 6.6 BTR_example 0
6 99001 01/05/2021 00:25:00 01/05/2021 00:25:00 Collar 01/05/2021 00:25:24 2 300 5 22 13 6.5 BTR_example 0
7 99001 01/05/2021 00:30:00 01/05/2021 00:30:00 Collar 01/05/2021 00:30:08 2 300 125 146 81 6.4 BTR_example 0
8 99001 01/05/2021 00:35:00 01/05/2021 00:35:00 Collar 01/05/2021 00:35:19 2 300 11 11 19 6.4 BTR_example 0
9 99001 01/05/2021 00:40:00 01/05/2021 00:40:00 Collar 01/05/2021 00:40:10 2 300 23 14 17 6.3 BTR_example 0
10 99001 01/05/2021 00:45:00 01/05/2021 00:45:00 Collar 01/05/2021 00:45:21 2 300 12 2 17 6.2 BTR_example 0
11 99001 01/05/2021 00:50:00 01/05/2021 00:50:00 Collar 01/05/2021 00:50:15 2 300 19 11 18 6.1 BTR_example 0
12 99001 01/05/2021 00:55:00 01/05/2021 00:55:00 Collar 01/05/2021 00:55:21 2 300 1 21 7 6.0 BTR_example 0
13 99001 01/05/2021 01:00:00 01/05/2021 01:00:00 Collar 01/05/2021 01:00:27 2 300 27 7 3 5.9 BTR_example 0
14 99001 01/05/2021 01:05:00 01/05/2021 01:05:00 Collar 01/05/2021 01:05:25 2 300 163 101 149 5.9 BTR_example 0
15 99001 01/05/2021 01:10:00 01/05/2021 01:10:00 Collar 01/05/2021 01:10:13 2 300 138 78 210 5.8 BTR_example 0
16 99001 01/05/2021 01:15:00 01/05/2021 01:15:00 Collar 01/05/2021 01:15:27 2 300 7 5 14 5.7 BTR_example 0
17 99001 01/05/2021 01:20:00 01/05/2021 01:20:00 Collar 01/05/2021 01:20:06 2 300 212 116 138 5.7 BTR_example 0
18 99001 01/05/2021 01:25:00 01/05/2021 01:25:00 Collar 01/05/2021 01:25:20 2 300 78 140 157 5.6 BTR_example 0
19 99001 01/05/2021 01:30:00 01/05/2021 01:30:00 Collar 01/05/2021 01:30:34 2 300 215 140 109 5.5 BTR_example 0
20 99001 01/05/2021 01:35:00 01/05/2021 01:35:00 Collar 01/05/2021 01:35:11 2 300 187 96 122 5.5 BTR_example 0
21 99001 01/05/2021 01:40:00 01/05/2021 01:40:00 Collar 01/05/2021 01:40:40 2 300 213 197 122 5.4 BTR_example 0
22 99001 01/05/2021 01:45:00 01/05/2021 01:45:00 Collar 01/05/2021 01:45:17 2 300 219 162 147 5.4 BTR_example 0
23 99001 01/05/2021 01:50:00 01/05/2021 01:50:00 Collar 01/05/2021 01:50:08 2 300 4 16 15 5.3 BTR_example 0
24 99001 01/05/2021 01:55:00 01/05/2021 01:55:00 Collar 01/05/2021 01:55:13 2 300 27 3 4 5.3 BTR_example 0
25 99001 01/05/2021 02:00:00 01/05/2021 02:00:00 Collar 01/05/2021 02:00:27 2 300 13 19 2 5.2 BTR_example 0
26 99001 01/05/2021 02:05:00 01/05/2021 02:05:00 Collar 01/05/2021 02:05:38 2 300 189 195 119 5.2 BTR_example 0
27 99001 01/05/2021 02:10:00 01/05/2021 02:10:00 Collar 01/05/2021 02:10:37 2 300 0 21 3 5.2 BTR_example 0
28 99001 01/05/2021 02:15:00 01/05/2021 02:15:00 Collar 01/05/2021 02:15:30 2 300 157 88 130 5.1 BTR_example 0
29 99001 01/05/2021 02:20:00 01/05/2021 02:20:00 Collar 01/05/2021 02:20:14 2 300 70 127 183 5.1 BTR_example 0
30 99001 01/05/2021 02:25:00 01/05/2021 02:25:00 Collar 01/05/2021 02:25:15 2 300 97 136 184 5.1 BTR_example 0
31 99001 01/05/2021 02:30:00 01/05/2021 02:30:00 Collar 01/05/2021 02:30:03 2 300 111 198 190 5.1 BTR_example 0
32 99001 01/05/2021 02:35:00 01/05/2021 02:35:00 Collar 01/05/2021 02:35:26 2 300 195 64 83 5.0 BTR_example 0
33 99001 01/05/2021 02:40:00 01/05/2021 02:40:00 Collar 01/05/2021 02:40:18 2 300 26 25 9 5.0 BTR_example 0
34 99001 01/05/2021 02:45:00 01/05/2021 02:45:00 Collar 01/05/2021 02:45:34 2 300 215 80 76 5.0 BTR_example 0
35 99001 01/05/2021 02:50:00 01/05/2021 02:50:00 Collar 01/05/2021 02:50:33 2 300 206 92 87 5.0 BTR_example 0
36 99001 01/05/2021 02:55:00 01/05/2021 02:55:00 Collar 01/05/2021 02:55:30 2 300 5 8 16 5.0 BTR_example 0
37 99001 01/05/2021 03:00:00 01/05/2021 03:00:00 Collar 01/05/2021 03:00:15 2 300 17 24 22 5.0 BTR_example 0
38 99001 01/05/2021 03:05:00 01/05/2021 03:05:00 Collar 01/05/2021 03:05:36 2 300 172 155 167 5.0 BTR_example 0
39 99001 01/05/2021 03:10:00 01/05/2021 03:10:00 Collar 01/05/2021 03:10:24 2 300 133 117 71 5.0 BTR_example 0
40 99001 01/05/2021 03:15:00 01/05/2021 03:15:00 Collar 01/05/2021 03:15:17 2 300 211 118 205 5.0 BTR_example 0
41 99001 01/05/2021 03:20:00 01/05/2021 03:20:00 Collar 01/05/2021 03:20:05 2 300 85 118 72 5.0 BTR_example 0
42 99001 01/05/2021 03:25:00 01/05/2021 03:25:00 Collar 01/05/2021 03:25:20 2 300 2 16 7 5.0 BTR_example 0
43 99001 01/05/2021 03:30:00 01/05/2021 03:30:00 Collar 01/05/2021 03:30:39 2 300 124 198 88 5.1 BTR_example 0
44 99001 01/05/2021 03:35:00 01/05/2021 03:35:00 Collar 01/05/2021 03:35:15 2 300 132 181 159 5.1 BTR_example 0
45 99001 01/05/2021 03:40:00 01/05/2021 03:40:00 Collar 01/05/2021 03:40:29 2 300 180 150 163 5.1 BTR_example 0
46 99001 01/05/2021 03:45:00 01/05/2021 03:45:00 Collar 01/05/2021 03:45:28 2 300 83 85 70 5.1 BTR_example 0
47 99001 01/05/2021 03:50:00 01/05/2021 03:50:00 Collar 01/05/2021 03:50:15 2 300 97 123 104 5.2 BTR_example 0
48 99001 01/05/2021 03:55:00 01/05/2021 03:55:00 Collar 01/05/2021 03:55:20 2 300 105 168 101 5.2 BTR_example 0
49 99001 01/05/2021 04:00:00 01/05/2021 04:00:00 Collar 01/05/2021 04:00:09 2 300 89 173 195 5.2 BTR_example 0
50 99001 01/05/2021 04:05:00 01/05/2021 04:05:00 Collar 01/05/2021 04:05:18 2 300 208 63 78 5.3 BTR_example 0
51 99001 01/05/2021 04:10:00 01/05/2021 04:10:00 Collar 01/05/2021 04:10:28 2 300 194 183 109 5.3 BTR_example 0
52 99001 01/05/2021 04:15:00 01/05/2021 04:15:00 Collar 01/05/2021 04:15:27 2 300 5 12 0 5.4 BTR_example 0
53 99001 01/05/2021 04:20:00 01/05/2021 04:20:00 Collar 01/05/2021 04:20:38 2 300 186 133 163 5.4 BTR_example 0
54 99001 01/05/2021 04:25:00 01/05/2021 04:25:00 Collar 01/05/2021 04:25:21 2 300 15 4 6 5.5 BTR_example 0
55 99001 01/05/2021 04:30:00 01/05/2021 04:30:00 Collar 01/05/2021 04:30:06 2 300 84 208 193 5.5 BTR_example 0
56 99001 01/05/2021 04:35:00 01/05/2021 04:35:00 Collar 01/05/2021 04:35:33 2 300 1 1 18 5.6 BTR_example 0
57 99001 01/05/2021 04:40:00 01/05/2021 04:40:00 Collar 01/05/2021 04:40:35 2 300 205 100 69 5.7 BTR_example 0
58 99001 01/05/2021 04:45:00 01/05/2021 04:45:00 Collar 01/05/2021 04:45:07 2 300 117 77 207 5.7 BTR_example 0
59 99001 01/05/2021 04:50:00 01/05/2021 04:50:00 Collar 01/05/2021 04:50:39 2 300 7 12 3 5.8 BTR_example 0
60 99001 01/05/2021 04:55:00 01/05/2021 04:55:00 Collar 01/05/2021 04:55:40 2 300 80 80 162 5.9 BTR_example 0
61 99001 01/05/2021 05:00:00 01/05/2021 05:00:00 Collar 01/05/2021 05:00:23 2 300 10 8 6 5.9 BTR_example 0
62 99001 01/05/2021 05:05:00 01/05/2021 05:05:00 Collar 01/05/2021 05:05:32 2 300 171 93 131 6.0 BTR_example 0
63 99001 01/05/2021 05:10:00 01/05/2021 05:10:00 Collar 01/05/2021 05:10:39 2 300 88 62 172 6.1 BTR_example 0
64 99001 01/05/2021 05:15:00 01/05/2021 05:15:00 Collar 01/05/2021 05:15:35 2 300 2 17 6 6.2 BTR_example 0
65 99001 01/05/2021 05:20:00 01/05/2021 05:20:00 Collar 01/05/2021 05:20:26 2 300 159 77 117 6.3 BTR_example 0
66 99001 01/05/2021 05:25:00 01/05/2021 05:25:00 Collar 01/05/2021 05:25:36 2 300 182 199 132 6.4 BTR_example 0
67 99001 01/05/2021 05:30:00 01/05/2021 05:30:00 Collar 01/05/2021 05:30:11 2 300 211 136 81 6.4 BTR_example 0
68 99001 01/05/2021 05:35:00 01/05/2021 05:35:00 Collar 01/05/2021 05:35:20 2 300 97 201 94 6.5 BTR_example 0
69 99001 01/05/2021 05:40:00 01/05/2021 05:40:00 Collar 01/05/2021 05:40:19 2 300 123 147 107 6.6 BTR_example 0
